new_id,max_date,defaut,Nbre_rejection_3M,Temps_écoulé,Mont_tot_sur_3M,SOLDE,Somme_Reject
2012-1,2022-09-22 22:00:00,0,0,999,2085.560000000005,-5265.05,0.0
2023-2,2024-02-18 23:00:00,0,0,999,0.0,1.38,0.0
2023-1,2022-05-23 22:00:00,0,0,999,0.0,1.38,0.0
2025-2,2024-02-18 23:00:00,0,0,999,0.0,1.38,0.0
2025-1,2022-05-23 22:00:00,0,0,999,0.0,1.38,0.0
2030-2,2024-03-03 23:00:00,0,0,999,619.1500000000001,-464.5799999999999,0.0
2030-1,2022-12-08 23:00:00,0,0,999,46.339999999999954,-3327.3300000000004,0.0
2037-2,2024-01-22 23:00:00,0,0,999,-19.8,211.01999999999998,0.0
2037-1,2022-10-03 22:00:00,0,0,999,52848.58,57647.74999999999,0.0
2040-2,2024-01-22 23:00:00,0,0,999,-119.57,-182.76,0.0
2040-1,2022-10-17 22:00:00,1,0,999,10946.81000000002,-12541.550000000001,0.0
2042-3,2024-03-03 23:00:00,0,0,999,1121.1399999999999,-770.1699999999978,0.0
2042-2,2022-12-07 23:00:00,0,0,999,3080.85,-8739.939999999999,0.0
2042-1,2021-09-13 22:00:00,0,0,999,1400.300000000001,-15708.170000000004,0.0
2047-1,2022-11-09 23:00:00,0,0,999,19.32,-716.3,0.0
2056-1,2022-11-07 23:00:00,0,0,999,9196.109999999997,-27323.079999999998,0.0
2063-2,2023-10-25 22:00:00,0,0,999,-3756.41,-4220.08,0.0
2063-1,2022-07-31 22:00:00,0,0,999,3127.290000000002,-9732.399999999996,0.0
2066-4,2023-08-20 22:00:00,0,0,999,2075.3200000000015,1947.530000000006,0.0
2066-3,2022-05-26 22:00:00,0,0,999,3018.850000000001,5959.030000000012,0.0
2066-2,2021-02-28 23:00:00,0,0,999,551.3899999999999,752.8200000000015,0.0
2066-1,2019-12-05 23:00:00,0,0,999,-468.62999999999994,426.19000000002234,0.0
2067-2,2023-10-25 22:00:00,0,0,999,-3756.4100000000003,-4220.079999999998,0.0
2067-1,2022-07-31 22:00:00,0,0,999,3127.2899999999995,-9732.400000000003,0.0
2070-3,2022-09-12 22:00:00,0,0,999,11542.32,11569.470000000003,0.0
2070-2,2021-06-09 22:00:00,0,0,999,-3933.1800000000003,2169.740000000016,0.0
2070-1,2020-03-10 23:00:00,0,0,999,-3408.1399999999994,293.92999999999654,0.0
2097-2,2023-08-24 22:00:00,0,0,999,497.37999999999965,-7558.520000000002,0.0
2097-1,2022-05-24 22:00:00,0,0,999,2638.730000000002,-17538.14,0.0
2101-1,2023-10-30 23:00:00,0,0,999,3678.4399999999996,-13179.890000000001,0.0
2102-2,2024-03-03 23:00:00,0,0,999,3076.03,-11810.760000000002,0.0
2102-1,2022-12-08 23:00:00,0,0,999,1638.67,-22630.72,0.0
2105-1,2021-09-20 22:00:00,0,0,999,77.01000000000022,404.050000000007,0.0
2106-1,2021-09-05 22:00:00,0,0,999,28.189999999999827,317.3200000000031,0.0
2112-1,2021-09-20 22:00:00,0,0,999,77.00999999999931,404.05000000000314,0.0
2118-1,2023-10-04 22:00:00,0,0,999,361.03000000000054,-976.2400000000002,0.0
2119-1,2021-09-05 22:00:00,0,0,999,28.189999999999827,317.32000000000323,0.0
2121-1,2024-02-27 23:00:00,0,0,999,-788.6700000000001,-411.53000000000026,0.0
2122-2,2024-02-29 23:00:00,0,0,999,544.2799999999999,-2077.6,0.0
2122-1,2022-12-01 23:00:00,0,0,999,206.49999999999994,-4574.2699999999995,0.0
2123-2,2024-03-03 23:00:00,0,0,999,0.0,41693.27,0.0
2123-1,2022-06-28 22:00:00,0,0,999,0.0,41693.27,0.0
2128-2,2024-03-03 23:00:00,0,0,999,3993.3500000000004,7704.639999999999,0.0
2128-1,2022-06-26 22:00:00,0,0,999,0.0,5059.41,0.0
2137-1,2024-02-22 23:00:00,0,0,999,988.3400000000001,-2536.0700000000006,0.0
2143-2,2024-03-03 23:00:00,0,0,999,5364.9,-13264.0,0.0
