new_id,max_date,defaut,Nbre_rejection_3M,Somme_Reject,Temps_écoulé,Mont_tot_sur_3M,SOLDE
24072-1,2024-02-25 23:00:00,0,0,0.0,999,-33.63999999999964,-1607.1900000000003
24124-1,2022-12-15 23:00:00,0,0,0.0,999,1456.1900000000003,-6626.180000000002
24140-2,2022-09-18 22:00:00,0,0,0.0,999,0.0,215.0
24193-1,2022-11-28 23:00:00,0,0,0.0,999,3618.5200000000004,-6690.780000000006
24196-1,2023-06-28 22:00:00,0,0,0.0,999,7535.18,262.84999999997535
24200-1,2022-12-18 23:00:00,0,0,0.0,999,1136.4700000000005,-9739.710000000003
24212-2,2024-03-04 23:00:00,0,0,0.0,999,268.98000000000025,1138.7099999999982
24212-1,2022-12-06 23:00:00,0,0,0.0,999,830.2100000000004,5641.4199999999955
24279-1,2022-12-08 23:00:00,0,0,0.0,999,-46.040000000000006,-798.89
24296-2,2022-11-13 23:00:00,0,0,0.0,999,1294.7399999999998,-4245.8
24296-1,2021-08-13 22:00:00,0,0,0.0,999,641.8100000000001,-12818.47
24352-2,2024-02-16 23:00:00,0,0,0.0,999,2839.8099999999986,-10538.940000000002
24352-1,2022-11-22 23:00:00,0,0,0.0,999,1807.8799999999999,-21599.22
24354-1,2022-12-11 23:00:00,0,0,0.0,999,879.0799999999972,-573.4899999999991
24355-1,2022-12-18 23:00:00,0,0,0.0,999,6467.250000000005,-9994.960000000001
24372-1,2022-12-18 23:00:00,0,0,0.0,999,2188.559999999982,-10164.04
24373-1,2022-12-14 23:00:00,0,0,0.0,999,-1941.1200000000001,2173.0299999999997
24380-1,2022-12-18 23:00:00,0,0,0.0,999,1383.95,-5270.529999999997
24381-1,2022-12-18 23:00:00,0,0,0.0,999,-273.67999999999995,384.8000000000006
24402-1,2024-03-03 23:00:00,0,0,0.0,999,3555.29,724.5899999999974
24420-1,2022-12-18 23:00:00,1,11,1195.73,8,277.78999999999985,-3103.5
24427-1,2022-12-18 23:00:00,0,0,0.0,999,1314.100000000001,2994.9900000000007
24428-1,2022-12-11 23:00:00,0,0,0.0,999,-26.700000000000003,164.66000000000003
24430-3,2023-04-02 22:00:00,0,0,0.0,999,-2392.059999999999,-5053.46
24430-2,2022-01-02 23:00:00,0,0,0.0,999,-715.0,-7893.350000000006
24430-1,2020-09-29 22:00:00,0,0,0.0,999,1832.0,-5879.58
24431-1,2024-03-03 23:00:00,0,0,0.0,999,93.47999999999998,-3993.440000000001
24432-1,2024-03-03 23:00:00,0,0,0.0,999,219.25999999999937,1120.5000000000005
24469-4,2023-01-09 23:00:00,0,0,0.0,999,-562.37,678.8299999999992
24469-3,2021-10-14 22:00:00,0,0,0.0,999,654.6,-905.7099999999996
24469-2,2020-07-15 22:00:00,0,0,0.0,999,225.0,-1740.3199999999997
24469-1,2019-04-24 22:00:00,0,0,0.0,999,127.0,-1054.2199999999998
24476-2,2022-12-01 23:00:00,0,0,0.0,999,-438.3500000000001,2886.949999999999
24476-1,2021-09-06 22:00:00,0,0,0.0,999,123.25,-1380.8900000000017
24480-1,2022-12-14 23:00:00,1,0,0.0,999,2691.95,-8091.1799999999985
24481-1,2022-12-15 23:00:00,0,0,0.0,999,4404.160000000001,-13653.999999999998
24500-1,2022-12-06 23:00:00,0,0,0.0,999,917.5399999999996,-6053.4400000000005
24507-1,2023-05-29 22:00:00,0,0,0.0,999,-20.3,-467.95
24508-1,2022-12-19 23:00:00,0,0,0.0,999,5197.790000000001,-8186.509999999998
24509-1,2022-12-19 23:00:00,0,0,0.0,999,5197.79,-8186.509999999998
24514-1,2022-11-28 23:00:00,0,0,0.0,999,409.13000000000056,-4546.280000000032
24530-1,2022-12-18 23:00:00,0,0,0.0,999,7888.35,28367.480000000003
24537-1,2024-02-21 23:00:00,0,0,0.0,999,13.0,313.0
24539-1,2024-02-21 23:00:00,0,0,0.0,999,0.0,0.0
24545-4,2024-03-03 23:00:00,0,0,0.0,999,-6399.73,-6517.829999999993
24545-3,2022-12-08 23:00:00,0,0,0.0,999,4724.820000000002,-7878.859999999995
24545-2,2021-09-12 22:00:00,0,0,0.0,999,1839.9200000000008,-18155.250000000004
24545-1,2020-06-16 22:00:00,0,0,0.0,999,-4107.07,-39265.06999999999
24556-4,2024-03-03 23:00:00,0,0,0.0,999,1872.13,-5188.959999999999
24556-3,2022-12-08 23:00:00,0,0,0.0,999,571.4000000000001,-9735.360000000002
24556-2,2021-09-09 22:00:00,0,0,0.0,999,546.48,-14048.98
24556-1,2020-06-11 22:00:00,0,0,0.0,999,318.52000000000004,-15733.150000000001
24580-1,2024-01-17 23:00:00,0,0,0.0,999,392.62999999999994,-1995.1800000000003
24601-1,2024-03-03 23:00:00,0,0,0.0,999,1026.3899999999999,-783.5399999999994
24616-2,2023-10-17 22:00:00,0,0,0.0,999,1847.5500000000009,-23983.57
24616-1,2022-07-21 22:00:00,0,0,0.0,999,5271.78,-38693.06999999999
24626-1,2023-08-21 22:00:00,0,0,0.0,999,1708.1799999999998,-7052.669999999999
24670-1,2023-05-08 22:00:00,0,0,0.0,999,2580.0600000000013,-16227.229999999978
24708-1,2023-04-07 22:00:00,0,0,0.0,999,1295.3199999999995,-5235.1900000000005
24709-1,2023-04-06 22:00:00,0,0,0.0,999,1930.6,-13775.990000000014
24734-1,2024-01-29 23:00:00,0,0,0.0,999,-3.0400000000000773,490.3500000000004
24735-5,2024-02-18 23:00:00,0,0,0.0,999,-1226.29,7790.010000000002
24735-4,2022-11-24 23:00:00,0,0,0.0,999,266.33000000000084,14575.880000000008
24735-3,2021-08-29 22:00:00,0,0,0.0,999,-5475.239999999995,46532.68000000001
24735-2,2020-06-04 22:00:00,0,0,0.0,999,-1187.1699999999992,10411.86000000001
24735-1,2019-03-10 23:00:00,0,0,0.0,999,-2979.9299999999994,3069.259999999991
24771-1,2023-07-27 22:00:00,0,0,0.0,999,-170.40999999999894,-3723.8500000000004
24777-1,2022-12-20 23:00:00,0,0,0.0,999,1566.690000000001,-3963.8700000000035
24778-1,2022-12-04 23:00:00,0,0,0.0,999,-70.98000000000002,-62.070000000013096
24783-1,2024-01-22 23:00:00,0,0,0.0,999,193.18000000000006,-337.96999999999997
24793-10,2024-03-03 23:00:00,0,0,0.0,999,6134.700000000004,-4343.410000000001
24793-9,2022-12-08 23:00:00,0,0,0.0,999,2221.49,-12882.290000000012
24793-8,2021-09-09 22:00:00,0,0,0.0,999,-873.7000000000014,-20553.46
24793-7,2020-06-18 22:00:00,0,0,0.0,999,3104.02,-29535.700000000023
24793-6,2019-03-24 23:00:00,0,0,0.0,999,-1377.7600000000002,-39702.38000000002
24793-5,2017-12-28 23:00:00,0,0,0.0,999,4191.28,-51738.06000000003
24793-4,2016-10-03 22:00:00,0,0,0.0,999,400.2900000000009,-61858.14999999999
24793-3,2015-05-10 22:00:00,0,0,0.0,999,876.2900000000009,-62778.000000000015
24793-2,2014-01-05 23:00:00,0,0,0.0,999,0.0,79.45
24793-1,2013-01-13 23:00:00,0,0,0.0,999,-3999.07,-61415.28000000001
24844-1,2023-11-14 23:00:00,0,0,0.0,999,-1532.0399999999995,54998.799999999996
24849-1,2023-11-14 23:00:00,0,0,0.0,999,-15.600000000000023,504.5700000000003
24850-1,2023-11-14 23:00:00,0,0,0.0,999,-1174.48,6592.63
24878-1,2023-11-02 23:00:00,0,0,0.0,999,-68.31999999999925,290.730000000001
24879-1,2023-11-08 23:00:00,0,0,0.0,999,11283.960000000006,-6345.740000000003
24880-1,2023-11-08 23:00:00,0,0,0.0,999,909.5200000000002,-1119.0200000000002
24881-1,2023-11-02 23:00:00,0,0,0.0,999,28.31999999999988,360.55000000000024
24896-4,2024-03-03 23:00:00,0,0,0.0,999,4063.9000000000015,-6821.330000000005
24896-3,2022-12-08 23:00:00,0,0,0.0,999,2478.16,-21107.149999999998
24896-2,2021-09-13 22:00:00,0,0,0.0,999,2601.850000000001,-31530.529999999995
24896-1,2020-06-15 22:00:00,0,0,0.0,999,2986.84,-40359.100000000006
24897-2,2024-03-03 23:00:00,0,0,0.0,999,150.2,260.23
24897-1,2022-12-04 23:00:00,0,0,0.0,999,450.0,599.97
24898-3,2024-03-03 23:00:00,0,0,0.0,999,1455.3699999999997,-1215.08
24898-2,2022-12-08 23:00:00,0,0,0.0,999,862.9499999999998,-5370.960000000001
24898-1,2021-09-13 22:00:00,0,0,0.0,999,134.23000000000002,-7652.42
24965-1,2022-11-27 23:00:00,0,0,0.0,999,-43.350000000000364,572.929999999999
24966-1,2022-11-28 23:00:00,0,0,0.0,999,6078.710000000002,6552.049999999992
