new_id,max_date,defaut,Mont_positive_tot_sur_3M,Mont_negatif_tot_sur_3M,Nbre_rejection_3M,Somme_Reject,Temps_écoulé,SOLDE
22086-1,2022-12-11 23:00:00,0,17643.24,-14807.869999999999,0,0.0,999,-5152.580000000007
22106-2,2022-09-19 22:00:00,0,3881.08,-4284.17,0,0.0,999,-2119.74
22106-1,2021-06-21 22:00:00,0,5232.490000000001,-3816.66,0,0.0,999,-5276.080000000001
22110-1,2022-12-11 23:00:00,0,6045.1,-3529.4300000000007,0,0.0,999,-6295.699999999997
22111-1,2022-12-11 23:00:00,0,8196.800000000001,-5669.01,0,0.0,999,-6196.42
22112-1,2022-12-06 23:00:00,0,7960.68,-9721.73,0,0.0,999,1021.9500000000012
22123-9,2023-07-06 22:00:00,0,950.0,-696.9699999999999,0,0.0,999,1134.7400000000002
22123-8,2022-04-06 22:00:00,0,2335.26,-2538.9,0,0.0,999,2325.26
22123-7,2021-01-14 23:00:00,0,1175.0,-1384.4,0,0.0,999,35.38999999999953
22123-6,2019-10-20 22:00:00,0,6893.48,-6916.76,0,0.0,999,120.62999999999971
22123-5,2018-07-26 22:00:00,0,7748.57,-8144.009999999999,0,0.0,999,-22.240000000001316
22123-4,2017-05-03 22:00:00,0,10511.189999999999,-9320.08,0,0.0,999,-4094.399999999994
22123-3,2016-02-04 23:00:00,0,4302.0,-3074.56,0,0.0,999,-7945.290000000001
22123-2,2014-11-11 23:00:00,0,8865.0,-8456.39,0,0.0,999,-13826.750000000007
22123-1,2013-08-18 22:00:00,0,4806.0,-4224.11,0,0.0,999,-17353.479999999996
22124-6,2023-07-04 22:00:00,0,525.0,-423.75,0,0.0,999,529.8900000000001
22124-5,2021-12-26 23:00:00,0,0.0,0.0,0,0.0,999,409.91
22124-4,2021-01-07 23:00:00,0,4100.0,-3659.0,0,0.0,999,1162.7000000000003
22124-3,2019-10-10 22:00:00,0,3380.0,-2400.0,0,0.0,999,1896.7200000000014
22124-2,2018-07-26 22:00:00,0,3514.45,-3066.66,0,0.0,999,391.80000000000035
22124-1,2017-04-24 22:00:00,0,4977.5,-2978.21,0,0.0,999,-1062.8599999999997
22125-5,2023-07-09 22:00:00,0,90.0,0.0,0,0.0,999,130.0
22125-4,2022-04-10 22:00:00,0,90.0,-1230.0,0,0.0,999,210.0
22125-3,2021-01-10 23:00:00,0,140.0,0.0,0,0.0,999,240.0
22125-2,2019-10-09 22:00:00,0,60.0,0.0,0,0.0,999,50.0
22125-1,2018-06-20 22:00:00,0,0.0,0.0,0,0.0,999,70.0
22130-12,2023-07-19 22:00:00,0,5786.75,-1601.0900000000001,0,0.0,999,-10985.45
22130-11,2022-04-24 22:00:00,0,4387.89,-2953.6599999999994,0,0.0,999,-21462.48
